FW,Date,Shift for Shift,Expense,Re-Expense,QC Owner,MODEL,ITEM,TELEX,SUPPLIER,DESCR,LOCATIONS,QTY,SUPPLIER DO,REMARK,PO#,SBR#,DISPOSITION CODE,RECEIPT_DATE,AGE,Warehouse,Building,Business Unit,Std Case Quantity,LPN,Ref Code(Order Marking),Lot No,Data on Web,Inspec,Rej.,Defect,Vender
FW2323,04-Dec,C  for B,TTP-091990,TTP-091997,??,CIMARRON,750434001,NHS,40929,"ASSY,SPNSN,DN,N,PINE,.5.0.6,TGA UPEMTO",TTP19093,10800,NHT22Y0363, ,47559035, ,RELEASED,21-Nov-22,13,UPSAP,THSAP,TTP,1200,63011,O501027MAS,T502XJ31X,YES,108,0,,
FW2323,04-Dec,C  for B,TTP-091990,TTP-091998,??,LONGSPEAK,753009102,NHS,40929,"ASSY,SPNSN,UP,N,JUNIPER,1.4.1,TGA,UPEMTO",TTPF1105,15600,NHJ22Z0013, ,47559694, ,RELEASED,01-Dec-22,3,UPSAP,THSAP,TTP,1200,63878,OB11028MAS,B512X268X,YES,108,0,,
FW2323,04-Dec,C  for B,TTP-091990,TTP-091998,??,LONGSPEAK,753009103,NHS,40929,"ASSY,SPNSN,DN,M,JUNIPER,1.4.1,TGA,UPEMTO",TTPF0503,13200,NHT22Y0301, ,47559695, ,RELEASED,17-Nov-22,17,UPSAP,THSAP,TTP,1200,62830,O431114MAS,T432Y820X,YES,108,0,,
FW2323,07-Dec,C for A,TTP-092045,TTP-092049,????????,M11P,732160418,NHS,40929,"ASSY,SPNSN,UP,N,IRIS,20.4,TGA,UPEMTO",TTP09101,36800,NHT22Y0316, ,47560029, ,RELEASED,18-Nov-22,19,UPSAP,THSAP,TTP,1600,62885, ,23-CARTONS,YES,123,0,,
FW2323,07-Dec,C for A,TTP-092045,TTP-092049,????????,M11P,732160419,NHS,40929,"ASSY,SPNSN,DN,N,IRIS,20.4,TGA,UPEMTO",TTP02064,60800,NHT22Y0264, ,47560030, ,RELEASED,16-Nov-22,21,UPSAP,THSAP,TTP,1600,62731, ,T222X608X,YES,123,0,,
FW2323,07-Dec,C for A,TTP-092045,TTP-092050,????????,LONGSPEAK,753009102,NHS,40929,"ASSY,SPNSN,UP,N,JUNIPER,1.4.1,TGA,UPEMTO",TTP20073,39600,NHT22Y0400, ,47559694, ,RELEASED,23-Nov-22,14,UPSAP,THSAP,TTP,1200,63214,O521109MAS,T522Y718X,YES,123,0,,
FW2323,07-Dec,C for A,TTP-092045,TTP-092050,????????,LONGSPEAK,753009102,NHS,40929,"ASSY,SPNSN,UP,N,JUNIPER,1.4.1,TGA,UPEMTO",TTP12124,48000,NHT22Y0493, ,47559694, ,RELEASED,26-Nov-22,11,UPSAP,THSAP,TTP,1200,63423,O521112MAS,40-CARTONS,YES,123,0,,
FW2323,07-Dec,C for A,TTP-092045,TTP-092050,????????,LONGSPEAK,753009103,NHS,40929,"ASSY,SPNSN,DN,M,JUNIPER,1.4.1,TGA,UPEMTO",TTP21143,28800,NHT22Y0244, ,47559695, ,RELEASED,14-Nov-22,23,UPSAP,THSAP,TTP,1200,62640,O431109MAS,T432Y813X,YES,108,0,,
FW2323,08-Dec,A for A,TTP-092064,TTP-092090,????????,LONGSPEAK,753009102,NHS,40929,"ASSY,SPNSN,UP,N,JUNIPER,1.4.1,TGA,UPEMTO",TTP21-13-5,48000,NHT22Z0002, ,47559694, ,RELEASED,01-Dec-22,7,UPSAP,THSAP,TTP,1200,63854,O521124MAS,40-CARTONS,YES,123,0,,
FW2323,08-Dec,A for A,TTP-092064,TTP-092090,????????,LONGSPEAK,753009102,NHS,40929,"ASSY,SPNSN,UP,N,JUNIPER,1.4.1,TGA,UPEMTO",TTP18-11-2,46800,NHT22Y0573, ,47559694, ,RELEASED,29-Nov-22,9,UPSAP,THSAP,TTP,1200,63655,O521117MAS,40-CARTONS,YES,123,0,,
FW2323,08-Dec,A for A,TTP-092064,TTP-092090,????????,LONGSPEAK,753009102,NHS,40929,"ASSY,SPNSN,UP,N,JUNIPER,1.4.1,TGA,UPEMTO",TTP99-17-3,39600,NHT22Y0592, ,47559694, ,RELEASED,29-Nov-22,9,UPSAP,THSAP,TTP,1200,63724,O521117MAS,T522Y735X,YES,123,0,,
FW2323,08-Dec,A for A,TTP-092064,TTP-092090,????????,LONGSPEAK,753009103,NHS,40929,"ASSY,SPNSN,DN,M,JUNIPER,1.4.1,TGA,UPEMTO",TTP12-11-3,34800,NHT22Y0286, ,47559695, ,RELEASED,16-Nov-22,22,UPSAP,THSAP,TTP,1200,62719,O431114MAS,29-CARTONS,YES,108,0,,
FW2323,08-Dec,A for A,TTP-092064,TTP-092090,????????,LONGSPEAK,753009103,NHS,40929,"ASSY,SPNSN,DN,M,JUNIPER,1.4.1,TGA,UPEMTO",TTPF0-20-4,46800,NHT22Y0250, ,47559695, ,RELEASED,15-Nov-22,23,UPSAP,THSAP,TTP,1200,62702,O431110MAS,T432Y815X,YES,123,0,,
FW2323,09-Dec,B for C,TTP-092119,TTP-092124,???????,LONGSPEAK,753009102,NHS,40929,"ASSY,SPNSN,UP,N,JUNIPER,1.4.1,TGA,UPEMTO",TTP19033,28800,NHT22Y0613, ,47559694, ,RELEASED,30-Nov-22,9,UPSAP,THSAP,TTP,1200,63769,O521122MAS,T522Y738X,YES,108,0,,
FW2323,09-Dec,B for C,TTP-092119,TTP-092124,???????,LONGSPEAK,753009102,NHS,40929,"ASSY,SPNSN,UP,N,JUNIPER,1.4.1,TGA,UPEMTO",TTP13135,46800,NHT22Y0574, ,47559694, ,RELEASED,29-Nov-22,10,UPSAP,THSAP,TTP,1200,63646,O541103MAS,40-CARTONS,YES,123,0,,
